,satRvir,a,satRvir,hostRvir,sat_Xc,sat_Yc,sat_Zc,sat_vx,sat_vy,sat_vz,host_Xc,host_Yc,host_Zc,host_vx,host_vy,host_vz,sat_Mstar,sat_Mgas,host_Mstar,host_Mgas,sat_r_half,sat_r_gas,host_r_half,host_r_gas,x,y,z
h148_38,27.339081327303795,0.537185821693962,27.339081327303795,156.7736591740836,13495.25986953303,13420.03642580042,13023.074668329498,119.45,-61.76,88.45,13575.594533955787,13407.492940519425,13319.877510133247,1.65,4.12,-22.58,8245020.0,131591000.0,55011400000.0,75310700000.0,0.9988750740986098,1.2116126015870385,2.4028969917652367,19.595620011695118,80.33466442275676,-12.543485280993991,296.8028418037484
h148_55,28.176297001439877,0.5895311905622812,28.176297001439877,171.71099923168313,14634.092144585307,14621.384099296714,14442.745537803952,34.6,86.03,59.16,14895.501055841769,14725.284864761788,14591.381125340284,-0.65,5.02,-25.61,604309.0,201444000.0,64426500000.0,80507000000.0,0.47174295840307484,1.4568963962841348,2.46850214038005,20.91799987505788,261.4089112564616,103.90076546507407,148.6355875363315
h148_65,24.97169594563295,0.4573831206073492,24.97169594563295,136.7301589628589,11512.912361984032,11649.568321210403,11372.88315489999,68.14,-95.14,-126.0,11556.744746011058,11414.948426453904,11376.535135079786,-1.86,5.81,-21.94,23525100.0,102649000.0,37444300000.0,69692800000.0,0.9117336901606179,0.8328563898577341,2.178251397852042,19.856793363309713,43.83238402702591,-234.61989475649898,3.6519801797967375
h148_249,22.945288090336334,0.5634018280210481,22.945288090336334,164.77377172118335,14229.862641535974,14322.226498051288,13771.239189442305,128.99,-88.32,28.51,14235.90641850571,14069.233856672721,13958.59915804746,0.25,4.0,-24.14,748654.0,83784700.0,59910100000.0,78661300000.0,0.2772749566108003,0.4889598443774867,2.4699649379114597,18.844081973275824,6.043776969736427,-252.992641378567,187.3599686051548
h148_251,19.28080212076828,0.5000569949787919,19.28080212076828,144.5875689079427,12537.459055938622,12254.079051652145,12253.985061873937,107.97,114.55,29.09,12638.583412477321,12475.825725307097,12408.883618066233,-1.47,8.68,-23.28,1517270.0,67782300.0,47245600000.0,69070800000.0,0.7110312884620333,0.41839419621191226,2.3239650987317715,18.490257061158886,101.12435653869943,221.74667365495225,154.89855619229638
h148_282,14.305498216074376,0.3450090494536585,14.305498216074376,79.83588007988554,8860.341813001074,8516.485499385486,8622.686129199641,-86.64,71.34,3.71,8669.661750049407,8577.776225428288,8584.414087918703,48.62,8.52,-11.3,2377820.0,132874000.0,8211070000.0,33101500000.0,0.3352799505760403,0.4724467520505041,1.540718761414694,14.784764390388224,-190.68006295166742,61.29072604280191,-38.27204128093763
h229_14,25.142043149855944,0.5715739278129087,25.142043149855944,138.2348497907209,14399.5362554293,12404.402449270301,14003.03116417779,108.04,-214.98,-106.8,14660.375327628386,12343.889031232677,13972.16819845174,46.73,-142.16,-18.43,1310610.0,94279100.0,44185900000.0,37023800000.0,0.295489871808805,0.9872875466811926,0.9413192707601694,17.903637038450753,260.8390721990854,-60.51341803762443,-30.86296572604988
h229_18,24.472262026518564,0.45738312060357894,24.472262026518564,111.157792492212,11784.508397523477,10201.712251583665,11249.711888417565,47.04,-62.3,-129.04,11667.23595921617,10127.571357126573,11212.494936220757,39.83,-145.17,-20.73,51561300.0,229000000.0,37790100000.0,29056800000.0,0.8081705043974026,1.2889143480526943,0.7743641251321283,10.00931458999625,-117.27243830730731,-74.14089445709214,-37.21695219680805
h229_20,23.23306679320918,0.537185821690282,23.23306679320918,130.35407144808084,13529.507277741975,11767.591101385835,13169.057802363495,117.86,-251.94,24.79,13754.448948401663,11682.242122084734,13140.05240236489,45.92,-143.97,-19.07,481984,31015800.0,42584900000.0,34276800000.0,0.21749179552573522,0.5215918026068778,0.8794318003221897,14.849686096873969,224.9416706596876,-85.34897930110128,-29.005399998604844
h229_22,18.708524638033495,0.45738312060357894,18.708524638033495,111.157792492212,11739.588418807123,10318.01337726677,11187.374834795652,-53.94,-157.18,-99.74,11667.23595921617,10127.571357126573,11212.494936220757,39.83,-145.17,-20.73,3298340.0,34309900.0,37790100000.0,29056800000.0,0.5387319336230988,0.3610222129178509,0.7743641251321283,10.00931458999625,-72.352459590953,-190.4420201401972,25.12010142510553
